Sant Julià de Lòria	Sant Julià de Loria	AD	Europe/Andorra	8022
Ordino	Ordino	AD	Europe/Andorra	3066
les Escaldes	Escaldes-Engordany	AD	Europe/Andorra	15853
la Massana	La Massana	AD	Europe/Andorra	7211
Encamp	Encamp	AD	Europe/Andorra	11223
Canillo	Canillo	AD	Europe/Andorra	3292
Andorra la Vella	Andorra la Vella	AD	Europe/Andorra	20430
Warīsān	Dubai	AE	Asia/Dubai	108759
Umm Suqaym	Dubai	AE	Asia/Dubai	16459
Umm Al Quwain City	Umm Al Quwain	AE	Asia/Dubai	59098
Ţarīf Kalbā	Fujairah	AE	Asia/Dubai	51000
Ar Rāshidīyah	Dubai	AE	Asia/Dubai	38425
Ras Al Khaimah	Ras Al Khaimah	AE	Asia/Dubai	351943
Muzayri‘	Abu Dhabi	AE	Asia/Dubai	10000
Maşfūţ	Ajman	AE	Asia/Dubai	8988
Zayed City	Abu Dhabi	AE	Asia/Dubai	63482
Khawr Fakkān	Sharjah	AE	Asia/Dubai	40677
Kalbā	Sharjah	AE	Asia/Dubai	37545
Jumayrā	Dubai	AE	Asia/Dubai	39080
Al Jazīrah al Ḩamrā’	Ras Al Khaimah	AE	Asia/Dubai	10190
Dubai	Dubai	AE	Asia/Dubai	3790000
Dibba Al-Fujairah	Fujairah	AE	Asia/Dubai	30000
Dibba Al-Hisn	Fujairah	AE	Asia/Dubai	26395
Dayrah	Dubai	AE	Asia/Dubai	400000
Sharjah	Sharjah	AE	Asia/Dubai	1800000
Ar Ruways	Abu Dhabi	AE	Asia/Dubai	25000
Al Manāmah	Ajman	AE	Asia/Dubai	5823
Ḩattā	Dubai	AE	Asia/Dubai	15324
Fujairah	Fujairah	AE	Asia/Dubai	118933
Al Ain City	Abu Dhabi	AE	Asia/Dubai	846747
Ajman	Ajman	AE	Asia/Dubai	490035
Adh Dhayd	Sharjah	AE	Asia/Dubai	20165
Abu Dhabi	Abu Dhabi	AE	Asia/Dubai	1807000
Abū Hayl	Dubai	AE	Asia/Dubai	18043
As Saţwah	Dubai	AE	Asia/Dubai	40997
Nadd al Ḩumr	Dubai	AE	Asia/Dubai	13589
Suwayḩān	Abu Dhabi	AE	Asia/Dubai	5403
Al Ḩamīdīyah	Ajman	AE	Asia/Dubai	27000
Al Waheda	Dubai	AE	Asia/Dubai	21608
Al Twar First	Dubai	AE	Asia/Dubai	12114
AL Twar Second	Dubai	AE	Asia/Dubai	5068
Al Qusais Second	Dubai	AE	Asia/Dubai	12851
Al Karama	Dubai	AE	Asia/Dubai	75560
Al Hudaiba	Dubai	AE	Asia/Dubai	7699
Al Wasl	Dubai	AE	Asia/Dubai	22153
Knowledge Village	Dubai	AE	Asia/Dubai	15000
The Palm Jumeirah	Dubai	AE	Asia/Dubai	25500
Za'abeel	Dubai	AE	Asia/Dubai	5283
Oud Metha	Dubai	AE	Asia/Dubai	8321
Bur Dubai	Dubai	AE	Asia/Dubai	18698
Khalifah A City	Abu Dhabi	AE	Asia/Dubai	85374
Shakhbout City	Abu Dhabi	AE	Asia/Dubai	6515
Mirdif	Dubai	AE	Asia/Dubai	60288
Hawr al ‘Anz	Dubai	AE	Asia/Dubai	84661
Mankhūl	Dubai	AE	Asia/Dubai	41244
Būr Sa‘īd	Dubai	AE	Asia/Dubai	11142
Nāyf	Dubai	AE	Asia/Dubai	53075
Al Murar al Qadīm	Dubai	AE	Asia/Dubai	19831
Ar Riqqah	Dubai	AE	Asia/Dubai	8222
Al Warqaa	Dubai	AE	Asia/Dubai	59111
International City	Dubai	AE	Asia/Dubai	120000
Dubai Marina	Dubai	AE	Asia/Dubai	120000
Dubai Sports City	Dubai	AE	Asia/Dubai	15000
Dubai Internet City	Dubai	AE	Asia/Dubai	24000
Al Safa	Dubai	AE	Asia/Dubai	15672
Ar Rumaylah	Ajman	AE	Asia/Dubai	86000
Mushayrif	Ajman	AE	Asia/Dubai	6539
Al Jurf	Ajman	AE	Asia/Dubai	18000
Al Majaz	Sharjah	AE	Asia/Dubai	116503
As Saţwah Sharq	Dubai	AE	Asia/Dubai	11619
Dubai Festival City	Dubai	AE	Asia/Dubai	77000
Dubai International Financial Centre	Dubai	AE	Asia/Dubai	36000
Downtown Dubai	Dubai	AE	Asia/Dubai	13201
Dubai Investments Park	Dubai	AE	Asia/Dubai	160000
Jebel Ali	Dubai	AE	Asia/Dubai	210000
Bani Yas City	Abu Dhabi	AE	Asia/Dubai	80498
Musaffah	Abu Dhabi	AE	Asia/Dubai	243341
Al Shamkhah City	Abu Dhabi	AE	Asia/Dubai	61710
Reef Al Fujairah City	Fujairah	AE	Asia/Dubai	82310
Sha'biyyat Al Hiyar	Abu Dhabi	AE	Asia/Dubai	7610
Umm Al Sheif	Dubai	AE	Asia/Dubai	6263
Al Bada'a	Dubai	AE	Asia/Dubai	18816
Al Muteena	Dubai	AE	Asia/Dubai	48739
Al Mizhar First	Dubai	AE	Asia/Dubai	17498
Al Mizhar Second	Dubai	AE	Asia/Dubai	11967
Dubai Silicon Oasis	Dubai	AE	Asia/Dubai	90000
Dubai Motor City	Dubai	AE	Asia/Dubai	8561
DAMAC Hills	Dubai	AE	Asia/Dubai	8000
Al Furjan	Dubai	AE	Asia/Dubai	26000
Business Bay	Dubai	AE	Asia/Dubai	191000
Al Qusais 1	Dubai	AE	Asia/Dubai	48378
Al Twar 3	Dubai	AE	Asia/Dubai	11185
Al Khabaisi	Dubai	AE	Asia/Dubai	6737
Al Khawaneej 1	Dubai	AE	Asia/Dubai	12241
Halwan	Sharjah	AE	Asia/Dubai	19389
Al Sajaah	Sharjah	AE	Asia/Dubai	53079
Lahbab	Dubai	AE	Asia/Dubai	53079
Al Madam	Sharjah	AE	Asia/Dubai	8652
Mohammed Bin Zayed City	Abu Dhabi	AE	Asia/Dubai	85000
Masdar City	Abu Dhabi	AE	Asia/Dubai	15000
Kuhsān	Herat	AF	Asia/Kabul	12087
Tukzār	Sar-e Pol Province	AF	Asia/Kabul	12021
Zindah Jān	Herat	AF	Asia/Kabul	10418
Zarghūn Shahr	Paktika	AF	Asia/Kabul	13737
Zaṟah Sharan	Paktika	AF	Asia/Kabul	7366
Zaranj	Nimroz	AF	Asia/Kabul	49851
Yangī Qal‘ah	Takhar	AF	Asia/Kabul	11100
Bāzār-e Yakāwlang	Bamyan	AF	Asia/Kabul	65000
Tīr Pul	Herat	AF	Asia/Kabul	6979
Tarinkot	Oruzgan	AF	Asia/Kabul	10000
Taloqan	Takhar	AF	Asia/Kabul	64256
Tagāw-Bāy	Sar-e Pol Province	AF	Asia/Kabul	9096
Tagāb	Kapisa	AF	Asia/Kabul	6400
Shīnḏanḏ	Herat	AF	Asia/Kabul	29264
Shibirghān	Jowzjan	AF	Asia/Kabul	55641
Shahrak	Ghowr	AF	Asia/Kabul	15967
